QuarterEnd,MPARK_Close_QuarterEnd
2018-03-31,17.66
2018-06-30,14.38
2018-09-30,12.12
2018-12-31,10.7
2019-03-31,12.6
2019-06-30,11.57
2019-09-30,14.7
2019-12-31,16.0
2020-03-31,13.1
2020-06-30,19.9
2020-09-30,17.27
2020-12-31,19.87
2021-03-31,20.64
2021-06-30,22.16
2021-09-30,27.48
2021-12-31,29.86
2022-03-31,30.3
2022-06-30,32.62
2022-09-30,49.24
2022-12-31,90.2
2023-03-31,71.0
2023-06-30,76.0
2023-09-30,143.0
2023-12-31,149.0
2024-03-31,192.4
2024-06-30,350.0
2024-09-30,327.0
2024-12-31,382.0
2025-03-31,317.0
2025-06-30,341.5
2025-09-30,332.0
2025-12-31,380.5
