QuarterEnd,AYES_Close_QuarterEnd
2016-03-31,0.0859
2016-06-30,0.0919
2016-09-30,0.116
2016-12-31,0.1205
2017-03-31,0.1383
2017-06-30,0.1339
2017-09-30,0.1383
2017-12-31,0.1517
2018-03-31,0.1696
2018-06-30,0.1686
2018-09-30,0.1463
2018-12-31,0.1315
2019-03-31,0.1389
2019-06-30,0.1549
2019-09-30,0.1721
2019-12-31,0.2094
2020-03-31,0.1731
2020-06-30,0.3318
2020-09-30,0.8548
2020-12-31,1.09
2021-03-31,1.2706
2021-06-30,1.7192
2021-09-30,1.7781
2021-12-31,2.5164
2022-03-31,1.7974
2022-06-30,2.0198
2022-09-30,3.5126
2022-12-31,5.7129
2023-03-31,3.7702
2023-06-30,3.681
2023-09-30,7.4134
2023-12-31,5.9307
2024-03-31,8.1053
2024-06-30,9.074
2024-09-30,9.7787
2024-12-31,8.5961
2025-03-31,9.242
2025-06-30,16.6059
2025-09-30,14.12
2025-12-31,17.55
