QuarterEnd,EUREN_Close_QuarterEnd
2022-06-30,2.1009
2022-09-30,2.9528
2022-12-31,4.4333
2023-03-31,3.9013
2023-06-30,4.8314
2023-09-30,7.325
2023-12-31,5.3417
2024-03-31,5.8701
2024-06-30,5.4756
2024-09-30,4.4876
2024-12-31,4.89
2025-03-31,4.36
2025-06-30,5.5
2025-09-30,8.2
2025-12-31,6.34
