QuarterEnd,CVKMD_Close_QuarterEnd
2023-06-30,4.89
2023-09-30,12.954
2023-12-31,9.21
2024-03-31,12.7125
2024-06-30,13.98
2024-09-30,8.43
2024-12-31,8.61
2025-03-31,10.1
2025-06-30,12.04
2025-09-30,15.79
2025-12-31,26.46
