QuarterEnd,AGYO_Close_QuarterEnd
2016-03-31,0.9001
2016-06-30,0.9867
2016-09-30,1.0963
2016-12-31,1.5002
2017-03-31,1.379
2017-06-30,1.9214
2017-09-30,1.5521
2017-12-31,1.6585
2018-03-31,1.6342
2018-06-30,1.6019
2018-09-30,1.974
2018-12-31,1.2055
2019-03-31,1.0627
2019-06-30,1.1451
2019-09-30,1.2551
2019-12-31,1.7589
2020-03-31,1.1451
2020-06-30,1.9513
2020-09-30,2.1712
2020-12-31,2.3086
2021-03-31,2.7575
2021-06-30,2.0018
2021-09-30,2.5244
2021-12-31,2.5737
2022-03-31,2.6724
2022-06-30,3.5993
2022-09-30,5.9167
2022-12-31,5.3842
2023-03-31,4.2994
2023-06-30,4.7333
2023-09-30,7.4254
2023-12-31,8.3524
2024-03-31,7.8593
2024-06-30,7.7706
2024-09-30,7.1986
2024-12-31,7.6
2025-03-31,6.39
2025-06-30,6.69
2025-09-30,7.65
2025-12-31,7.08
