QuarterEnd,BVSAN_Close_QuarterEnd
2023-03-31,64.6732
2023-06-30,50.2468
2023-09-30,96.2737
2023-12-31,77.0877
2024-03-31,100.5918
2024-06-30,97.0588
2024-09-30,89.3059
2024-12-31,89.012
2025-03-31,101.2469
2025-06-30,87.8232
2025-09-30,116.107
2025-12-31,101.0
