QuarterEnd,YBTAS_Close_QuarterEnd
2016-03-31,0.6609
2016-06-30,0.6435
2016-09-30,0.5792
2016-12-31,0.5486
2017-03-31,0.6033
2017-06-30,0.578
2017-09-30,0.6114
2017-12-31,0.6014
2018-03-31,0.9088
2018-06-30,0.634
2018-09-30,0.95
2018-12-31,0.733
2019-03-31,0.6966
2019-06-30,0.8597
2019-09-30,0.8167
2019-12-31,0.9817
2020-03-31,1.6673
2020-06-30,2.3063
2020-09-30,6.7253
2020-12-31,5.2001
2021-03-31,5.0833
2021-06-30,4.1333
2021-09-30,3.3299
2021-12-31,4.8667
2022-03-31,6.0177
2022-06-30,6.6667
2022-09-30,12.0863
2022-12-31,21.663
2023-03-31,20.6666
2023-06-30,18.5
2023-09-30,26.674
2023-12-31,47.5
2024-03-31,60.0342
2024-06-30,57.6658
2024-09-30,45.2333
2024-12-31,43.8
2025-03-31,71.6658
2025-06-30,33.3333
2025-09-30,27.54
2025-12-31,21.3
