QuarterEnd,BAGFS_Close_QuarterEnd
2016-03-31,5.1643
2016-06-30,4.202
2016-09-30,3.7637
2016-12-31,3.5177
2017-03-31,3.5783
2017-06-30,4.145
2017-09-30,3.5356
2017-12-31,3.7423
2018-03-31,3.3288
2018-06-30,2.6445
2018-09-30,2.2311
2018-12-31,1.7179
2019-03-31,1.7749
2019-06-30,2.3345
2019-09-30,3.6532
2019-12-31,5.9948
2020-03-31,4.17
2020-06-30,6.1373
2020-09-30,6.0304
2020-12-31,7.1282
2021-03-31,7.9479
2021-06-30,6.0589
2021-09-30,7.342
2021-12-31,17.4219
2022-03-31,15.1023
2022-06-30,14.7638
2022-09-30,23.9725
2022-12-31,39.9409
2023-03-31,26.1826
2023-06-30,25.7644
2023-09-30,46.0
2023-12-31,32.94
2024-03-31,25.0
2024-06-30,22.34
2024-09-30,20.42
2024-12-31,21.92
2025-03-31,20.36
2025-06-30,25.5
2025-09-30,32.72
2025-12-31,25.64
