QuarterEnd,GUBRF_Close_QuarterEnd
2016-03-31,5.9594
2016-06-30,5.5864
2016-09-30,4.83
2016-12-31,4.38
2017-03-31,4.56
2017-06-30,4.99
2017-09-30,4.65
2017-12-31,4.23
2018-03-31,4.15
2018-06-30,3.54
2018-09-30,3.09
2018-12-31,2.96
2019-03-31,2.73
2019-06-30,2.57
2019-09-30,5.69
2019-12-31,9.04
2020-03-31,14.63
2020-06-30,27.68
2020-09-30,32.12
2020-12-31,86.05
2021-03-31,73.1
2021-06-30,51.55
2021-09-30,48.66
2021-12-31,76.85
2022-03-31,79.8
2022-06-30,70.95
2022-09-30,127.0
2022-12-31,264.3
2023-03-31,198.5
2023-06-30,271.2
2023-09-30,360.9
2023-12-31,153.8
2024-03-31,159.1
2024-06-30,140.2
2024-09-30,204.5
2024-12-31,287.0
2025-03-31,263.0
2025-06-30,228.3
2025-09-30,285.25
2025-12-31,348.0
