QuarterEnd,SUNTK_Close_QuarterEnd
2022-06-30,6.1257
2022-09-30,7.7965
2022-12-31,15.8887
2023-03-31,9.8397
2023-06-30,12.2754
2023-09-30,19.3076
2023-12-31,18.6549
2024-03-31,16.4658
2024-06-30,18.2742
2024-09-30,18.179
2024-12-31,37.0698
2025-03-31,33.4837
2025-06-30,33.4837
2025-09-30,46.6784
2025-12-31,60.9
