QuarterEnd,PATEK_Close_QuarterEnd
2024-03-31,27.5817
2024-06-30,16.3703
2024-09-30,15.41
2024-12-31,20.9933
2025-03-31,18.3915
2025-06-30,19.24
2025-09-30,30.74
2025-12-31,22.02
