QuarterEnd,SEGYO_Close_QuarterEnd
2022-06-30,1.01
2022-09-30,1.26
2022-12-31,3.03
2023-03-31,2.2
2023-06-30,2.25
2023-09-30,4.4
2023-12-31,5.91
2024-03-31,4.34
2024-06-30,4.32
2024-09-30,4.25
2024-12-31,4.82
2025-03-31,5.18
2025-06-30,4.07
2025-09-30,4.51
2025-12-31,5.2
