QuarterEnd,VBTYZ_Close_QuarterEnd
2021-09-30,4.4138
2021-12-31,4.4862
2022-03-31,4.9076
2022-06-30,4.9002
2022-09-30,5.8402
2022-12-31,12.5333
2023-03-31,8.6558
2023-06-30,10.5067
2023-09-30,22.5556
2023-12-31,26.1333
2024-03-31,33.72
2024-06-30,28.34
2024-09-30,26.6
2024-12-31,24.42
2025-03-31,19.28
2025-06-30,21.5
2025-09-30,19.24
2025-12-31,16.94
