QuarterEnd,QUAGR_Close_QuarterEnd
2021-06-30,1.1909
2021-09-30,1.1936
2021-12-31,1.1064
2022-03-31,1.3173
2022-06-30,2.4945
2022-09-30,3.2855
2022-12-31,7.2273
2023-03-31,6.4
2023-06-30,7.7273
2023-09-30,6.62
2023-12-31,5.74
2024-03-31,4.04
2024-06-30,3.36
2024-09-30,2.94
2024-12-31,3.25
2025-03-31,4.1
2025-06-30,6.17
2025-09-30,10.03
2025-12-31,2.85
