QuarterEnd,SKTAS_Close_QuarterEnd
2016-03-31,0.3264
2016-06-30,0.3218
2016-09-30,0.3036
2016-12-31,0.3264
2017-03-31,0.3082
2017-06-30,0.391
2017-09-30,0.3295
2017-12-31,0.2834
2018-03-31,0.3056
2018-06-30,0.2322
2018-09-30,0.2186
2018-12-31,0.2169
2019-03-31,0.2612
2019-06-30,0.239
2019-09-30,0.2869
2019-12-31,0.4525
2020-03-31,0.4354
2020-06-30,0.7238
2020-09-30,1.1681
2020-12-31,1.3544
2021-03-31,1.1575
2021-06-30,1.0963
2021-09-30,1.2124
2021-12-31,0.9958
2022-03-31,1.3874
2022-06-30,1.1832
2022-09-30,1.3041
2022-12-31,2.679
2023-03-31,1.4999
2023-06-30,1.6941
2023-09-30,2.9305
2023-12-31,2.4412
2024-03-31,2.5096
2024-06-30,2.8937
2024-09-30,2.3991
2024-12-31,2.8358
2025-03-31,2.3886
2025-06-30,2.6622
2025-09-30,4.84
2025-12-31,3.79
