QuarterEnd,MAKIM_Close_QuarterEnd
2022-06-30,7.6028
2022-09-30,8.3755
2022-12-31,12.1943
2023-03-31,9.6169
2023-06-30,13.4108
2023-09-30,28.8406
2023-12-31,22.4
2024-03-31,24.46
2024-06-30,32.8
2024-09-30,22.82
2024-12-31,23.28
2025-03-31,17.17
2025-06-30,21.42
2025-09-30,17.9
2025-12-31,14.95
