QuarterEnd,MERCN_Close_QuarterEnd
2021-06-30,2.986
2021-09-30,3.6055
2021-12-31,3.1837
2022-03-31,3.7843
2022-06-30,4.9271
2022-09-30,7.2378
2022-12-31,14.607
2023-03-31,10.1763
2023-06-30,9.6984
2023-09-30,14.28
2023-12-31,13.7845
2024-03-31,13.0215
2024-06-30,11.3963
2024-09-30,13.6749
2024-12-31,12.5985
2025-03-31,21.6686
2025-06-30,20.74
2025-09-30,38.2
2025-12-31,17.28
