QuarterEnd,DENGE_Close_QuarterEnd
2016-03-31,0.1704
2016-06-30,0.1789
2016-09-30,0.1889
2016-12-31,0.1747
2017-03-31,0.22
2017-06-30,0.2729
2017-09-30,0.22
2017-12-31,0.7222
2018-03-31,1.2482
2018-06-30,0.9314
2018-09-30,0.6604
2018-12-31,0.4428
2019-03-31,1.9696
2019-06-30,0.7291
2019-09-30,0.71
2019-12-31,0.5229
2020-03-31,0.355
2020-06-30,0.5955
2020-09-30,1.6986
2020-12-31,2.0918
2021-03-31,2.6338
2021-06-30,1.0573
2021-09-30,1.0261
2021-12-31,0.8815
2022-03-31,1.0399
2022-06-30,1.219
2022-09-30,1.8525
2022-12-31,2.0936
2023-03-31,1.3842
2023-06-30,1.3429
2023-09-30,2.0454
2023-12-31,1.5426
2024-03-31,1.9903
2024-06-30,2.9544
2024-09-30,4.1252
2024-12-31,2.3484
2025-03-31,1.887
2025-06-30,2.0
2025-09-30,2.83
2025-12-31,3.04
