QuarterEnd,PRDGS_Close_QuarterEnd
2022-06-30,2.53
2022-09-30,4.08
2022-12-31,10.0
2023-03-31,6.28
2023-06-30,5.89
2023-09-30,9.31
2023-12-31,6.3
2024-03-31,6.42
2024-06-30,6.36
2024-09-30,5.9
2024-12-31,5.83
2025-03-31,4.92
2025-06-30,5.35
2025-09-30,6.49
2025-12-31,6.08
