QuarterEnd,GENIL_Close_QuarterEnd
2021-09-30,13.1008
2021-12-31,14.3231
2022-03-31,14.0805
2022-06-30,18.2819
2022-09-30,21.9192
2022-12-31,49.4519
2023-03-31,45.6333
2023-06-30,40.1345
2023-09-30,61.3903
2023-12-31,46.0476
2024-03-31,65.7122
2024-06-30,66.2034
2024-09-30,89.631
2024-12-31,119.7054
2025-03-31,135.4666
2025-06-30,152.7914
2025-09-30,184.7755
2025-12-31,199.0
