QuarterEnd,TUREX_Close_QuarterEnd
2021-06-30,0.874
2021-09-30,1.094
2021-12-31,1.117
2022-03-31,1.237
2022-06-30,1.13
2022-09-30,1.203
2022-12-31,3.0
2023-03-31,2.706
2023-06-30,2.68
2023-09-30,3.172
2023-12-31,2.91
2024-03-31,4.7
2024-06-30,6.38
2024-09-30,10.3
2024-12-31,16.49
2025-03-31,24.39
2025-06-30,16.77
2025-09-30,8.84
2025-12-31,7.07
