QuarterEnd,AKMGY_Close_QuarterEnd
2016-03-31,8.955
2016-06-30,9.0222
2016-09-30,9.6082
2016-12-31,11.2077
2017-03-31,12.5896
2017-06-30,12.0953
2017-09-30,11.8577
2017-12-31,12.134
2018-03-31,11.6833
2018-06-30,11.3199
2018-09-30,11.4554
2018-12-31,10.6516
2019-03-31,11.6862
2019-06-30,13.2208
2019-09-30,14.1228
2019-12-31,17.4748
2020-03-31,15.6742
2020-06-30,28.3126
2020-09-30,65.5167
2020-12-31,50.5414
2021-03-31,41.1292
2021-06-30,33.1647
2021-09-30,30.0854
2021-12-31,35.7625
2022-03-31,45.4468
2022-06-30,37.8003
2022-09-30,49.9394
2022-12-31,71.392
2023-03-31,62.9158
2023-06-30,73.4617
2023-09-30,123.5035
2023-12-31,117.923
2024-03-31,265.3038
2024-06-30,243.4303
2024-09-30,201.8805
2024-12-31,210.8947
2025-03-31,205.9181
2025-06-30,188.9563
2025-09-30,238.0
2025-12-31,197.9
