QuarterEnd,TABGD_Close_QuarterEnd
2023-12-31,114.5235
2024-03-31,133.0896
2024-06-30,204.8133
2024-09-30,135.2463
2024-12-31,146.8108
2025-03-31,163.8636
2025-06-30,177.0
2025-09-30,235.0
2025-12-31,209.1
