QuarterEnd,ARZUM_Close_QuarterEnd
2020-12-31,1.5134
2021-03-31,1.3536
2021-06-30,1.076
2021-09-30,1.1555
2021-12-31,0.9564
2022-03-31,0.9946
2022-06-30,1.0065
2022-09-30,1.2083
2022-12-31,1.6634
2023-03-31,1.2469
2023-06-30,1.441
2023-09-30,3.4293
2023-12-31,2.0727
2024-03-31,3.2138
2024-06-30,4.2809
2024-09-30,3.2099
2024-12-31,2.5221
2025-03-31,2.3917
2025-06-30,2.5259
2025-09-30,2.85
2025-12-31,2.48
