QuarterEnd,BASGZ_Close_QuarterEnd
2021-06-30,7.9031
2021-09-30,19.5623
2021-12-31,8.4058
2022-03-31,9.8077
2022-06-30,10.4367
2022-09-30,11.5061
2022-12-31,16.3738
2023-03-31,9.8273
2023-06-30,10.8434
2023-09-30,20.0586
2023-12-31,16.0025
2024-03-31,16.3789
2024-06-30,28.8072
2024-09-30,24.8497
2024-12-31,27.2992
2025-03-31,25.6699
2025-06-30,32.7363
2025-09-30,38.32
2025-12-31,46.54
