QuarterEnd,ESCOM_Close_QuarterEnd
2016-03-31,0.0887
2016-06-30,0.0823
2016-09-30,0.0759
2016-12-31,0.0794
2017-03-31,0.0908
2017-06-30,0.0965
2017-09-30,0.0851
2017-12-31,0.0894
2018-03-31,0.0752
2018-06-30,0.044
2018-09-30,0.0454
2018-12-31,0.0539
2019-03-31,0.0433
2019-06-30,0.0504
2019-09-30,0.061
2019-12-31,0.0986
2020-03-31,0.1816
2020-06-30,0.2702
2020-09-30,0.3468
2020-12-31,0.466
2021-03-31,0.4674
2021-06-30,0.3951
2021-09-30,0.3887
2021-12-31,0.4305
2022-03-31,0.4887
2022-06-30,1.4327
2022-09-30,1.5036
2022-12-31,2.525
2023-03-31,2.2626
2023-06-30,2.1689
2023-09-30,3.4215
2023-12-31,2.8981
2024-03-31,5.2415
2024-06-30,4.1882
2024-09-30,3.5853
2024-12-31,3.8726
2025-03-31,2.48
2025-06-30,3.03
2025-09-30,3.02
2025-12-31,3.7
