QuarterEnd,EKIZ_Close_QuarterEnd
2016-03-31,0.49
2016-06-30,0.43
2016-09-30,0.36
2016-12-31,0.37
2017-03-31,0.43
2017-06-30,0.45
2017-09-30,0.6
2017-12-31,0.57
2018-03-31,0.49
2018-06-30,0.46
2018-09-30,0.37
2018-12-31,0.33
2019-03-31,0.27
2019-06-30,0.29
2019-09-30,0.42
2019-12-31,0.61
2020-03-31,1.49
2020-06-30,10.24
2020-09-30,9.35
2020-12-31,7.13
2021-03-31,6.89
2021-06-30,6.84
2021-09-30,6.0
2021-12-31,6.85
2022-03-31,6.38
2022-06-30,6.02
2022-09-30,14.45
2022-12-31,19.3
2023-03-31,14.25
2023-06-30,16.1
2023-09-30,37.28
2023-12-31,38.12
2024-03-31,70.7
2024-06-30,74.2
2024-09-30,58.5
2024-12-31,56.7
2025-03-31,55.25
2025-06-30,54.6
2025-09-30,87.8
2025-12-31,146.9
