QuarterEnd,MOGAN_Close_QuarterEnd
2024-03-31,18.81
2024-06-30,13.33
2024-09-30,10.22
2024-12-31,10.4
2025-03-31,8.72
2025-06-30,8.79
2025-09-30,9.86
2025-12-31,8.19
