QuarterEnd,ATAKP_Close_QuarterEnd
2023-09-30,67.68
2023-12-31,45.9604
2024-03-31,42.0818
2024-06-30,48.2487
2024-09-30,43.1175
2024-12-31,49.0178
2025-03-31,37.6513
2025-06-30,42.0
2025-09-30,51.8
2025-12-31,52.25
