QuarterEnd,OSTIM_Close_QuarterEnd
2016-03-31,0.2874
2016-06-30,0.2315
2016-09-30,0.3222
2016-12-31,0.3064
2017-03-31,0.261
2017-06-30,0.2746
2017-09-30,0.2384
2017-12-31,0.2539
2018-03-31,0.2275
2018-06-30,0.1963
2018-09-30,0.1776
2018-12-31,0.1648
2019-03-31,0.1618
2019-06-30,0.1618
2019-09-30,0.174
2019-12-31,0.2564
2020-03-31,0.2335
2020-06-30,0.4151
2020-09-30,0.5112
2020-12-31,0.6227
2021-03-31,0.6489
2021-06-30,0.502
2021-09-30,0.4936
2021-12-31,0.4189
2022-03-31,0.4296
2022-06-30,0.4856
2022-09-30,0.5603
2022-12-31,0.9472
2023-03-31,0.8111
2023-06-30,1.3367
2023-09-30,3.754
2023-12-31,1.6676
2024-03-31,1.5448
2024-06-30,1.5688
2024-09-30,2.2412
2024-12-31,2.1265
2025-03-31,3.48
2025-06-30,3.93
2025-09-30,3.48
2025-12-31,2.97
