QuarterEnd,KORDS_Close_QuarterEnd
2016-03-31,4.1952
2016-06-30,5.1037
2016-09-30,5.7195
2016-12-31,5.4496
2017-03-31,6.8499
2017-06-30,7.3395
2017-09-30,6.236
2017-12-31,6.7177
2018-03-31,7.0417
2018-06-30,5.8466
2018-09-30,8.7654
2018-12-31,8.9484
2019-03-31,9.846
2019-06-30,11.4633
2019-09-30,12.0024
2019-12-31,12.3713
2020-03-31,9.2426
2020-06-30,12.1224
2020-09-30,11.2759
2020-12-31,15.1286
2021-03-31,23.8945
2021-06-30,19.3607
2021-09-30,24.6144
2021-12-31,30.6464
2022-03-31,34.7131
2022-06-30,49.1755
2022-09-30,56.9133
2022-12-31,96.2995
2023-03-31,77.75
2023-06-30,77.95
2023-09-30,99.3
2023-12-31,77.5
2024-03-31,88.45
2024-06-30,93.15
2024-09-30,77.15
2024-12-31,71.6
2025-03-31,57.0
2025-06-30,55.6
2025-09-30,63.05
2025-12-31,48.46
