QuarterEnd,RUBNS_Close_QuarterEnd
2022-09-30,22.4
2022-12-31,30.62
2023-03-31,20.32
2023-06-30,20.04
2023-09-30,34.1
2023-12-31,22.46
2024-03-31,27.68
2024-06-30,30.36
2024-09-30,27.6
2024-12-31,27.96
2025-03-31,22.68
2025-06-30,18.89
2025-09-30,21.52
2025-12-31,23.16
