QuarterEnd,ZEDUR_Close_QuarterEnd
2016-03-31,0.3133
2016-06-30,0.2833
2016-09-30,0.4678
2016-12-31,0.3176
2017-03-31,0.329
2017-06-30,0.6509
2017-09-30,0.8484
2017-12-31,0.6423
2018-03-31,0.6853
2018-06-30,0.4549
2018-09-30,0.5336
2018-12-31,0.5866
2019-03-31,0.9084
2019-06-30,0.4521
2019-09-30,0.5079
2019-12-31,0.7039
2020-03-31,0.525
2020-06-30,1.0129
2020-09-30,2.1159
2020-12-31,5.5508
2021-03-31,5.8655
2021-06-30,2.9757
2021-09-30,3.1187
2021-12-31,1.7883
2022-03-31,1.6309
2022-06-30,1.628
2022-09-30,3.5336
2022-12-31,9.4421
2023-03-31,6.2947
2023-06-30,6.4206
2023-09-30,11.5165
2023-12-31,11.073
2024-03-31,11.2589
2024-06-30,11.11
2024-09-30,8.24
2024-12-31,8.52
2025-03-31,7.09
2025-06-30,7.34
2025-09-30,8.69
2025-12-31,8.11
