QuarterEnd,GESAN_Close_QuarterEnd
2021-09-30,6.275
2021-12-31,4.275
2022-03-31,4.705
2022-06-30,10.505
2022-09-30,21.0
2022-12-31,59.525
2023-03-31,65.825
2023-06-30,59.25
2023-09-30,105.0
2023-12-31,66.6
2024-03-31,70.2
2024-06-30,51.0
2024-09-30,41.3
2024-12-31,47.18
2025-03-31,44.34
2025-06-30,40.5
2025-09-30,45.2
2025-12-31,46.4
