QuarterEnd,INVEO_Close_QuarterEnd
2016-03-31,0.0347
2016-06-30,0.039
2016-09-30,0.0399
2016-12-31,0.0415
2017-03-31,0.0436
2017-06-30,0.0424
2017-09-30,0.0436
2017-12-31,0.0424
2018-03-31,0.0445
2018-06-30,0.0461
2018-09-30,0.0488
2018-12-31,0.0722
2019-03-31,0.0943
2019-06-30,0.0835
2019-09-30,0.1284
2019-12-31,0.2362
2020-03-31,0.6133
2020-06-30,0.7125
2020-09-30,0.7524
2020-12-31,1.358
2021-03-31,4.1058
2021-06-30,3.6391
2021-09-30,3.2122
2021-12-31,2.6554
2022-03-31,2.759
2022-06-30,3.3384
2022-09-30,4.4376
2022-12-31,7.4208
2023-03-31,5.8416
2023-06-30,5.304
2023-09-30,14.928
2023-12-31,10.0176
2024-03-31,9.96
2024-06-30,10.44
2024-09-30,8.15
2024-12-31,7.43
2025-03-31,6.78
2025-06-30,7.9
2025-09-30,10.37
2025-12-31,8.34
