QuarterEnd,PLTUR_Close_QuarterEnd
2022-12-31,14.953
2023-03-31,12.4929
2023-06-30,10.6285
2023-09-30,15.1356
2023-12-31,13.4375
2024-03-31,16.7004
2024-06-30,17.3279
2024-09-30,23.5104
2024-12-31,30.0894
2025-03-31,25.3486
2025-06-30,24.1876
2025-09-30,24.4005
2025-12-31,22.68
