QuarterEnd,BINHO_Close_QuarterEnd
2023-12-31,9.0528
2024-03-31,19.1075
2024-06-30,13.9709
2024-09-30,13.2514
2024-12-31,11.5027
2025-03-31,8.6375
2025-06-30,7.4281
2025-09-30,10.66
2025-12-31,8.83
