QuarterEnd,HUNER_Close_QuarterEnd
2022-03-31,1.6797
2022-06-30,1.7308
2022-09-30,2.7271
2022-12-31,7.5426
2023-03-31,4.7899
2023-06-30,4.6558
2023-09-30,6.0545
2023-12-31,3.832
2024-03-31,4.4898
2024-06-30,3.89
2024-09-30,3.18
2024-12-31,3.8
2025-03-31,3.78
2025-06-30,3.4
2025-09-30,3.68
2025-12-31,3.09
