QuarterEnd,TRILC_Close_QuarterEnd
2021-03-31,29.0
2021-06-30,14.181
2021-09-30,12.27
2021-12-31,11.7
2022-03-31,8.9
2022-06-30,8.86
2022-09-30,10.24
2022-12-31,13.48
2023-03-31,9.45
2023-06-30,9.74
2023-09-30,15.63
2023-12-31,11.43
2024-03-31,16.6
2024-06-30,24.18
2024-09-30,20.84
2024-12-31,16.75
2025-03-31,22.44
2025-06-30,19.31
2025-09-30,22.68
2025-12-31,16.08
