QuarterEnd,KIMMR_Close_QuarterEnd
2021-09-30,3.21
2021-12-31,3.09
2022-03-31,3.16
2022-06-30,3.4
2022-09-30,13.51
2022-12-31,8.15
2023-03-31,6.21
2023-06-30,5.07
2023-09-30,8.13
2023-12-31,6.08
2024-03-31,10.51
2024-06-30,10.55
2024-09-30,11.0
2024-12-31,9.61
2025-03-31,8.36
2025-06-30,11.85
2025-09-30,14.71
2025-12-31,13.28
