QuarterEnd,CANTE_Close_QuarterEnd
2021-06-30,0.5146
2021-09-30,0.7398
2021-12-31,0.6835
2022-03-31,1.2297
2022-06-30,2.3598
2022-09-30,6.9689
2022-12-31,6.9474
2023-03-31,2.3458
2023-06-30,3.7525
2023-09-30,2.8304
2023-12-31,2.2676
2024-03-31,2.4927
2024-06-30,2.01
2024-09-30,1.6
2024-12-31,1.66
2025-03-31,1.58
2025-06-30,1.55
2025-09-30,2.09
2025-12-31,2.0
