QuarterEnd,LMKDC_Close_QuarterEnd
2024-03-31,30.9528
2024-06-30,21.2077
2024-09-30,21.9796
2024-12-31,30.0072
2025-03-31,30.9528
2025-06-30,26.74
2025-09-30,26.98
2025-12-31,28.3
