QuarterEnd,TERA_Close_QuarterEnd
2022-12-31,1.461
2023-03-31,2.25
2023-06-30,1.7955
2023-09-30,2.769
2023-12-31,2.925
2024-03-31,2.874
2024-06-30,2.778
2024-09-30,4.617
2024-12-31,7.5825
2025-03-31,12.4875
2025-06-30,60.6375
2025-09-30,149.4
2025-12-31,172.0
