QuarterEnd,TSPOR_Close_QuarterEnd
2016-03-31,0.5458
2016-06-30,1.0234
2016-09-30,0.9086
2016-12-31,0.8807
2017-03-31,0.8435
2017-06-30,0.89
2017-09-30,0.8187
2017-12-31,0.6822
2018-03-31,0.6171
2018-06-30,0.4435
2018-09-30,0.4
2018-12-31,0.4776
2019-03-31,0.3123
2019-06-30,0.354
2019-09-30,0.4893
2019-12-31,0.7462
2020-03-31,1.0828
2020-06-30,2.3738
2020-09-30,1.711
2020-12-31,1.4174
2021-03-31,1.2257
2021-06-30,1.522
2021-09-30,1.8996
2021-12-31,3.5203
2022-03-31,3.3693
2022-06-30,2.6722
2022-09-30,2.5444
2022-12-31,2.7826
2023-03-31,2.1087
2023-06-30,2.5386
2023-09-30,3.805
2023-12-31,2.5668
2024-03-31,2.262
2024-06-30,3.5046
2024-09-30,2.3254
2024-12-31,2.1532
2025-03-31,2.1532
2025-06-30,1.12
2025-09-30,1.23
2025-12-31,1.07
