QuarterEnd,OZSUB_Close_QuarterEnd
2022-12-31,8.7292
2023-03-31,7.7133
2023-06-30,8.3297
2023-09-30,15.6642
2023-12-31,12.18
2024-03-31,15.25
2024-06-30,15.92
2024-09-30,18.16
2024-12-31,14.65
2025-03-31,16.37
2025-06-30,22.22
2025-09-30,18.27
2025-12-31,17.91
