QuarterEnd,LIDER_Close_QuarterEnd
2022-06-30,1.6568
2022-09-30,2.7048
2022-12-31,7.3573
2023-03-31,10.3696
2023-06-30,6.9918
2023-09-30,11.7537
2023-12-31,12.749
2024-03-31,15.5942
2024-06-30,17.278
2024-09-30,18.7551
2024-12-31,32.8006
2025-03-31,41.8531
2025-06-30,50.3714
2025-09-30,63.3403
2025-12-31,70.0
