QuarterEnd,KZGYO_Close_QuarterEnd
2023-09-30,30.82
2023-12-31,21.14
2024-03-31,23.28
2024-06-30,20.82
2024-09-30,20.22
2024-12-31,22.0
2025-03-31,20.06
2025-06-30,21.26
2025-09-30,23.08
2025-12-31,23.2
