QuarterEnd,AKENR_Close_QuarterEnd
2016-03-31,0.97
2016-06-30,0.95
2016-09-30,0.95
2016-12-31,0.85
2017-03-31,0.88
2017-06-30,1.08
2017-09-30,0.93
2017-12-31,0.91
2018-03-31,0.95
2018-06-30,0.75
2018-09-30,0.59
2018-12-31,0.63
2019-03-31,0.56
2019-06-30,0.52
2019-09-30,0.6
2019-12-31,1.09
2020-03-31,0.76
2020-06-30,1.61
2020-09-30,2.07
2020-12-31,2.21
2021-03-31,1.75
2021-06-30,1.28
2021-09-30,1.69
2021-12-31,1.82
2022-03-31,1.69
2022-06-30,1.49
2022-09-30,2.71
2022-12-31,5.33
2023-03-31,4.08
2023-06-30,4.45
2023-09-30,6.03
2023-12-31,4.28
2024-03-31,12.7
2024-06-30,15.86
2024-09-30,12.18
2024-12-31,13.18
2025-03-31,10.13
2025-06-30,11.17
2025-09-30,10.66
2025-12-31,11.27
