QuarterEnd,DERIM_Close_QuarterEnd
2016-03-31,1.4437
2016-06-30,1.5318
2016-09-30,1.3135
2016-12-31,1.4107
2017-03-31,1.341
2017-06-30,1.4272
2017-09-30,1.352
2017-12-31,1.3777
2018-03-31,2.1903
2018-06-30,1.8051
2018-09-30,1.7207
2018-12-31,1.5905
2019-03-31,1.5886
2019-06-30,2.0454
2019-09-30,2.1287
2019-12-31,4.0422
2020-03-31,2.7401
2020-06-30,4.246
2020-09-30,4.7895
2020-12-31,5.5142
2021-03-31,6.5049
2021-06-30,6.6351
2021-09-30,5.6217
2021-12-31,4.0309
2022-03-31,4.44
2022-06-30,6.19
2022-09-30,7.92
2022-12-31,10.24
2023-03-31,10.69
2023-06-30,12.5
2023-09-30,17.75
2023-12-31,15.0
2024-03-31,32.4
2024-06-30,40.26
2024-09-30,33.62
2024-12-31,38.18
2025-03-31,35.82
2025-06-30,36.7
2025-09-30,41.0
2025-12-31,36.78
