QuarterEnd,KCAER_Close_QuarterEnd
2022-06-30,3.199
2022-09-30,3.3507
2022-12-31,7.007
2023-03-31,5.719
2023-06-30,5.7355
2023-09-30,10.928
2023-12-31,10.1135
2024-03-31,15.8422
2024-06-30,19.0052
2024-09-30,13.5878
2024-12-31,13.8926
2025-03-31,12.4616
2025-06-30,13.7535
2025-09-30,14.01
2025-12-31,10.55
