QuarterEnd,BAYRK_Close_QuarterEnd
2020-06-30,0.8978
2020-09-30,0.8108
2020-12-31,1.1982
2021-03-31,1.1124
2021-06-30,1.1293
2021-09-30,1.0785
2021-12-31,0.7566
2022-03-31,0.5782
2022-06-30,0.6923
2022-09-30,0.7442
2022-12-31,1.3123
2023-03-31,1.1112
2023-06-30,1.1225
2023-09-30,2.6222
2023-12-31,3.7945
2024-03-31,11.8464
2024-06-30,9.7933
2024-09-30,4.3433
2024-12-31,3.939
2025-03-31,4.1897
2025-06-30,5.1767
2025-09-30,7.2185
2025-12-31,5.31
