QuarterEnd,CATES_Close_QuarterEnd
2023-12-31,40.5
2024-03-31,57.7
2024-06-30,47.0
2024-09-30,39.9
2024-12-31,38.12
2025-03-31,29.14
2025-06-30,29.04
2025-09-30,32.98
2025-12-31,32.96
