QuarterEnd,OFSYM_Close_QuarterEnd
2023-09-30,68.5745
2023-12-31,40.7697
2024-03-31,46.8477
2024-06-30,38.1846
2024-09-30,37.494
2024-12-31,41.1447
2025-03-31,40.1185
2025-06-30,41.2039
2025-09-30,64.6977
2025-12-31,69.1
