QuarterEnd,GRTHO_Close_QuarterEnd
2023-06-30,20.4685
2023-09-30,37.1179
2023-12-31,41.1933
2024-03-31,67.873
2024-06-30,63.1784
2024-09-30,107.9714
2024-12-31,149.5
2025-03-31,330.25
2025-06-30,333.25
2025-09-30,491.25
2025-12-31,287.5
