QuarterEnd,ARASE_Close_QuarterEnd
2021-12-31,21.4824
2022-03-31,21.4824
2022-06-30,20.7827
2022-09-30,36.4599
2022-12-31,57.892
2023-03-31,34.0141
2023-06-30,41.1245
2023-09-30,47.2705
2023-12-31,58.8277
2024-03-31,61.1959
2024-06-30,55.7489
2024-09-30,54.3986
2024-12-31,53.9172
2025-03-31,38.8396
2025-06-30,45.2904
2025-09-30,54.05
2025-12-31,74.9
