QuarterEnd,OBASE_Close_QuarterEnd
2022-09-30,15.6
2022-12-31,23.9
2023-03-31,16.46
2023-06-30,15.56
2023-09-30,29.62
2023-12-31,38.94
2024-03-31,49.02
2024-06-30,39.2
2024-09-30,31.5
2024-12-31,31.1
2025-03-31,29.8
2025-06-30,29.98
2025-09-30,35.88
2025-12-31,31.06
