QuarterEnd,BARMA_Close_QuarterEnd
2022-09-30,9.088
2022-12-31,23.16
2023-03-31,15.34
2023-06-30,13.1
2023-09-30,25.9
2023-12-31,16.7
2024-03-31,18.26
2024-06-30,18.05
2024-09-30,18.64
2024-12-31,16.71
2025-03-31,17.05
2025-06-30,17.02
2025-09-30,20.1
2025-12-31,37.72
