QuarterEnd,ONCSM_Close_QuarterEnd
2023-03-31,175.3645
2023-06-30,86.2857
2023-09-30,197.2103
2023-12-31,149.6
2024-03-31,194.4
2024-06-30,132.3
2024-09-30,135.0
2024-12-31,106.1
2025-03-31,92.45
2025-06-30,81.9
2025-09-30,111.6
2025-12-31,263.0
