QuarterEnd,YEOTK_Close_QuarterEnd
2021-09-30,5.1629
2021-12-31,3.5692
2022-03-31,3.9241
2022-06-30,4.0426
2022-09-30,6.9823
2022-12-31,18.8755
2023-03-31,17.8479
2023-06-30,20.9307
2023-09-30,68.2817
2023-12-31,44.4845
2024-03-31,57.2214
2024-06-30,50.7313
2024-09-30,43.6732
2024-12-31,51.7
2025-03-31,51.75
2025-06-30,36.08
2025-09-30,36.6
2025-12-31,36.54
