QuarterEnd,INVES_Close_QuarterEnd
2022-03-31,30.04
2022-06-30,37.0
2022-09-30,43.88
2022-12-31,86.0
2023-03-31,193.0
2023-06-30,262.6
2023-09-30,312.0
2023-12-31,262.75
2024-03-31,348.5
2024-06-30,335.25
2024-09-30,321.0
2024-12-31,289.75
2025-03-31,221.5
2025-06-30,253.0
2025-09-30,327.75
2025-12-31,346.5
