QuarterEnd,KAYSE_Close_QuarterEnd
2023-06-30,16.403
2023-09-30,42.7672
2023-12-31,33.8
2024-03-31,29.8
2024-06-30,27.6
2024-09-30,21.4
2024-12-31,19.79
2025-03-31,17.77
2025-06-30,18.0
2025-09-30,18.69
2025-12-31,18.43
