QuarterEnd,DMRGD_Close_QuarterEnd
2023-09-30,1.4075
2023-12-31,1.3175
2024-03-31,1.8387
2024-06-30,1.73
2024-09-30,1.5762
2024-12-31,1.5625
2025-03-31,1.7587
2025-06-30,3.375
2025-09-30,3.3125
2025-12-31,3.31
