QuarterEnd,GMTAS_Close_QuarterEnd
2021-12-31,1.8804
2022-03-31,2.8979
2022-06-30,3.0538
2022-09-30,3.7513
2022-12-31,5.5139
2023-03-31,9.4914
2023-06-30,11.3788
2023-09-30,9.4951
2023-12-31,6.856
2024-03-31,7.6114
2024-06-30,9.7724
2024-09-30,9.8298
2024-12-31,10.0497
2025-03-31,12.794
2025-06-30,17.13
2025-09-30,35.08
2025-12-31,44.94
