QuarterEnd,YKSLN_Close_QuarterEnd
2019-12-31,0.5972
2020-03-31,0.5699
2020-06-30,1.1417
2020-09-30,1.3365
2020-12-31,1.471
2021-03-31,1.3496
2021-06-30,1.3889
2021-09-30,1.4002
2021-12-31,1.5855
2022-03-31,2.0442
2022-06-30,2.1886
2022-09-30,2.5933
2022-12-31,3.8204
2023-03-31,2.8885
2023-06-30,3.065
2023-09-30,4.3154
2023-12-31,4.1319
2024-03-31,6.2474
2024-06-30,6.1542
2024-09-30,4.8837
2024-12-31,4.5923
2025-03-31,3.6366
2025-06-30,2.8323
2025-09-30,3.4967
2025-12-31,3.15
